Wed Jul 22 01:26:52 2015    server_profile

         6002727 function calls (5995221 primitive calls) in 24.428 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      498    0.001    0.000    0.010    0.000 /usr/lib/python3.4/site-packages/matplotlib/__init__.py:851(__setitem__)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.4/logging/__init__.py:24(<module>)
      883    0.003    0.000    0.010    0.000 /usr/lib/python3.4/site-packages/matplotlib/transforms.py:85(__init__)
       16    0.000    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:420(_get_gridline)
      734    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:824(cached)
       11    0.000    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/matplotlib/artist.py:883(__init__)
       16    0.000    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:559(_get_gridline)
     2024    0.001    0.000    0.010    0.000 /usr/lib/python3.4/site-packages/numpy/core/_methods.py:37(_any)
      152    0.007    0.000    0.010    0.000 /usr/lib/python3.4/sre_compile.py:255(_optimize_charset)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.4/site-packages/numpy/ma/__init__.py:38(<module>)
     2163    0.009    0.000    0.010    0.000 /usr/lib/python3.4/collections/__init__.py:62(__setitem__)
       11    0.001    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/matplotlib/artist.py:901(get_aliases)
      367    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
43505/43289    0.009    0.000    0.009    0.000 {built-in method len}
      682    0.001    0.000    0.009    0.000 /usr/lib/python3.4/site-packages/matplotlib/transforms.py:1593(__init__)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/scipy/optimize/_minimize.py:8(<module>)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/scipy/sparse/linalg/isolve/iterative.py:1(<module>)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/scipy/special/_ellip_harm.py:1(<module>)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/matplotlib/rcsetup.py:15(<module>)
        2    0.000    0.000    0.009    0.004 /usr/lib/python3.4/site-packages/matplotlib/axis.py:858(set_clip_path)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/numpy/polynomial/__init__.py:15(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/unittest/result.py:1(<module>)
        8    0.001    0.000    0.008    0.001 /usr/lib/python3.4/site-packages/matplotlib/__init__.py:840(__init__)
      853    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
       14    0.000    0.000    0.008    0.001 /usr/lib/python3.4/site-packages/pyparsing.py:1084(parseString)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/shutil.py:5(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/site-packages/matplotlib/style/__init__.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/site-packages/numpy/lib/index_tricks.py:1(<module>)
       22    0.000    0.000    0.008    0.000 /usr/lib/python3.4/site-packages/matplotlib/patches.py:185(get_transform)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/site-packages/scipy/sparse/csgraph/__init__.py:119(<module>)
     2124    0.007    0.000    0.008    0.000 /usr/lib/python3.4/inspect.py:2118(__init__)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/site-packages/matplotlib/tri/__init__.py:3(<module>)
      946    0.004    0.000    0.008    0.000 /usr/lib/python3.4/abc.py:178(__instancecheck__)
