Wed Jul 22 01:14:38 2015    server_profile

         1013272 function calls (1005766 primitive calls) in 4.904 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16/14    0.000    0.000    0.015    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:544(_get_tick2line)
    16/14    0.000    0.000    0.015    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:404(_get_tick2line)
      100    0.000    0.000    0.015    0.000 /usr/lib/python3.4/site-packages/matplotlib/lines.py:972(set_marker)
11158/11149    0.013    0.000    0.015    0.000 {method 'join' of 'str' objects}
    73288    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
    24000    0.015    0.000    0.015    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/objects_revised.py:59(setPosition)
      964    0.002    0.000    0.015    0.000 /usr/lib/python3.4/site-packages/numpy/core/fromnumeric.py:1726(product)
     4609    0.012    0.000    0.014    0.000 /usr/lib/python3.4/sre_parse.py:195(__next)
     1740    0.014    0.000    0.014    0.000 {built-in method stat}
        1    0.000    0.000    0.014    0.014 /usr/lib/python3.4/site-packages/matplotlib/artist.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /usr/lib/python3.4/site-packages/matplotlib/font_manager.py:955(pickle_load)
        1    0.013    0.013    0.013    0.013 {built-in method load}
      100    0.000    0.000    0.013    0.000 /usr/lib/python3.4/site-packages/matplotlib/lines.py:452(set_fillstyle)
        2    0.000    0.000    0.013    0.007 /usr/lib/python3.4/site-packages/matplotlib/axis.py:625(__init__)
     2024    0.003    0.000    0.013    0.000 {method 'any' of 'numpy.ndarray' objects}
      734    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
        1    0.000    0.000    0.013    0.013 /usr/lib/python3.4/site-packages/matplotlib/lines.py:4(<module>)
     6199    0.012    0.000    0.012    0.000 {method 'expandtabs' of 'str' objects}
      506    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:261(__enter__)
        1    0.000    0.000    0.012    0.012 /usr/lib/python3.4/site-packages/scipy/sparse/linalg/isolve/__init__.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /usr/lib/python3.4/decimal.py:113(<module>)
        6    0.001    0.000    0.011    0.002 /usr/lib/python3.4/site-packages/matplotlib/patches.py:1703(_pprint_styles)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.4/site-packages/scipy/sparse/csr.py:1(<module>)
   148/60    0.000    0.000    0.011    0.000 /usr/lib/python3.4/site-packages/matplotlib/axes/_base.py:625(get_yaxis_transform)
